ISBSG Project ID;Data Quality Rating;UFP rating;Year of Project;Industry Sector;Organisation Type;Application Group;Application Type;Development Type;Development Platform;Language Type;Primary Programming Language;Count Approach;Functional Size;Relative Size;Adjusted Function Points;Value Adjustment Factor;Normalised Work Effort Level 1;Normalised Work Effort;Summary Work Effort;Normalised Level 1 PDR (ufp);Normalised PDR (ufp);Pre 2002 PDR (afp);Defect Density;Speed of Delivery;Manpower Delivery Rate;Project Elapsed Time;Project Inactive Time;Implementation Date;Project Activity Scope;Effort Plan;Effort Specify;Effort Design;Effort Build;Effort Test;Effort Implement;Effort Unrecorded;Minor Defects;Major Defects;Extreme Defects;Total Defects Delivered;Business Area Type;Software Process CMM;Software Process CMMI;Software Process SPICE;Software Process ISO;Software Process TICKIT;Software Process Other;Package Customisation;Degree of Customisation;Architecture;Client Server?;Client Roles;Server Roles;Type of Server;Client/Server Description;Web Development;Development Methodologies;Development Techniques;JAD Method Used;Prototyping Used;Planning Documents;Specification Documents;Specification Techniques;Design Documents;Design Techniques;Build Products;Build Activity;Test Documents;Test Activity;Implement Documents;Implement Activity;Functional Sizing Technique;FP Standard;FP Standards All;Reference Table Approach;1st Hardware;1st Language;1st Operating System;Integrated Development Environment;1st Debugging Tool;1st Data Base System;1st Component Server;1st Web Server;1st Message Server;1st Other Platform;2nd Hardware;2nd Language;2nd Operating System;2nd Data Base System;2nd Component Server;2nd Web Server;2nd Message Server;2nd Other Platform;CASE Tool Used;Used Methodology;How Methodology Acquired;User Base - Business Units;User Base - Locations;User Base - Distinct Users;User Base - Concurrent Users;Intended Market;Target Platform;Device Embedded;Recording Method;Resource Level;Team Size Group;Max Team Size;Average Team Size;Ratio of Project Work Effort to Non-Project Activity;Percentage of Uncollected Work Effort;Input count;Output count;Enquiry count;File count;Interface count;Added count;Changed count;Deleted count;COSMIC Entry;COSMIC Exit;COSMIC Read;COSMIC Write;Lines of Code;Lines of Code not Statements;Other Size Units
10001;D;A;1998;Service Industry;"Recreation & Personnel Services;";Business Application;"Transaction/Production System;";New Development;MR;4GL;Oracle;NESMA;237;4. M1;254;;1850;1850;1850;7,8;7,8;7,3;21,1;39,5;7,9;6;0;oct-98;"Planning;Specification;Build;Test;Implement;";100;400;;1000;200;150;0;;5;;5;"Sales;";;;;;;;No;;Stand alone;No;;;;;;;"Data Modelling;Prototyping;";;Yes;;;;;;;;;;;;"Wholly manual;";NESMA;"NESMA;";"Combined all tables into a single file;";"SUN;";"Oracle;";"UNIX;";;No;"Oracle;";;;;;;;;;;;;;No;No;;1;3;;2;"Outsourced for internal business unit;";;;Staff hours (recorded);1;05-ago;5;5;;;60;110;10;42;15;237;;;;;;;;;
10011;B;A;1996;Construction;"Construction;";Business Application;"Stock control & order processing;";New Development;Multi;4GL;Access;IFPUG 4+;443;5. M2;443;;856;856;796;1,9;1,9;1,8;;170,4;;2,6;0;20-jun-96;"Planning;Specification;Build;Test;";;;;;;;796;;;;;"Don't Know;";;;;;;;No;;Multi-tier / Client server;Yes;;;;"C/S;";;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;;Addendum to existing standards;"Addendum to existing standards;";"Don't Know;";"PC;";"Access;";"Windows 95;";;;"ACCESS;";;;;;;;;;;;;;No;Don't Know;;;;;;;;;Staff hours (derived);1;;;;100%;under 5%;;;;;;;;;;;;;;;
10012;B;A;2002;Wholesale & Retail;"Billing;";Business Application;"Billing;";Enhancement;;3GL;COBOL;IFPUG 4+;76;3. S;74;0,98;1100;1100;1100;14,5;14,5;14,9;;;;;;mar-02;;;;;;;;1100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IFPUG 4.1;"IFPUG 4.1;";;;"COBOL II;";;;;;;;;;;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
10014;B;A;2004;;;;;Enhancement;;;;IFPUG 4+;3;1. XXS;3;1,09;28;28;28;9,3;9,3;9,3;;;;;0;;;;;;;;;28;;;;;;;;;;;;;;Client server;Yes;;;;"C/S;";;;;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;;;;;;;;;;"C/S;";;;;;;;;;;;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
10015;B;A;2000;Wholesale & Retail;"Wholesale & Retail Trade;";Business Application;"Management Information System;";Enhancement;MF;3GL;COBOL;IFPUG 4+;382;5. M2;478;1,25;;23913;22000;;62,6;46;;127,3;;3;;abr-00;"Specification;Build;Test;Implement;";;;;;;;;;;;;;;;;;;;No;;Client server;Yes;;;;;;;;;;;;;;;;;;;;;"Manual supported by a tool;";IFPUG 4;"IFPUG 4;";;"Mainframe;";"COBOL;EZTRIEVE;COOL:Gen;";"Mainframe;";;;"Interactive;";;;;;;;;;;;;;Yes;Yes;;;;;;;;;Staff hours (recorded);4;;;;;;186;7;172;7;10;35;347;0;;;;;;;
10026;B;A;2000;Insurance;"Insurance;";Business Application;"Sales contact management;";New Development;MF;3GL;Java;IFPUG 4+;620;5. M2;620;;18160;18160;18160;29,3;29,3;29,3;;88,6;;7;0;30-jun-00;"Planning;Specification;Build;Test;";;;;;;;18160;;;;;"Don't Know;";;;;;;;No;;;Don't Know;;;;;;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;;Addendum to existing standards;"Addendum to existing standards;";"Don't Know;";"MF;";"Java;";"Soralis;Windows 95/Windows 98;";;;"IMS;DB2;";;;;;;;;;;;;;No;Don't Know;;;;;;;;;Staff hours (recorded);1;;;;100%;under 5%;125;159;221;73;42;620;;;;;;;;;
10029;B;;2004;Banking;"Banking;";Business Application;"Financial transaction process/accounting;";New Development;MF;3GL;COBOL;COSMIC;297;4. M1;297;;8186;8186;7449;27,6;27,6;25,1;;;;;;01-jun-04;;0;0;433;1932;4324;760;0;;;;;;;CMMI Level-1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Wholly manual;";COSMIC 3.0;"COSMIC 3.0;";;;"COBOL;";"IBM/zOS;";;;;;;;;;;;;;;;;;;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
10032;D;A;2000;Banking;"Banking;";Business Application;"Financial transaction process/accounting;";New Development;Multi;4GL;Visual Basic;IFPUG 4+;113;4. M1;113;;596;596;596;5,3;5,3;5,3;;43,5;;2,6;0;25-dic-00;"Planning;Specification;Build;Test;";;;;;;;596;;;;;"Don't Know;";;;;;;;No;;Multi-tier / Client server;Yes;;;;"C/S;";;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;;Addendum to existing standards;"Addendum to existing standards;";"Don't Know;";"PC;";"VB;";"Windows NT 4.0;";;;"Oracle 8.0.5;";;;;;;;;;;;;;No;Don't Know;;;;;;;;;Staff hours (recorded);1;;;;100%;under 5%;10;14;0;84;5;113;;;;;;;;;
10036;B;;1999;Electronics & Computers;"Engineering;Research & Development;Software Development;Client/Server architecture for Language Services;";Business Application;"Management Information System;Linguistic Software;";New Development;PC;;;COSMIC;183;4. M1;183;;;568;460;;3,1;2,5;;65,4;;2,8;0,3;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;COSMIC-FFP;"COSMIC-FFP;";;"Pentium II based processors;PowerPC(G3);";;"Windows NT, W2K;MacOS9;";;;"Oracle;";;;;"Language given as: English, French for WinNT, & French for MacOS9;";;;;;;;;;;;;;;;;;;;Staff hours (recorded);4;;;;;Less than 5% of recorded effort;;;;;;183;;;68;71;12;32;1.250;;
10039;B;C;1998;Communication;"Telecommunication;";Business Application;"Transaction/Production System;";Enhancement;;4GL;ADS/Online;IFPUG 4+;;4. M1;179;;271;327;271;;;1,5;;;;4;;jun-98;"Specification;Build;Test;";;;;;;;271;;;;;;;;;;;;;;Stand alone;No;;;;;;;;;;;;;;;;;;;;;;IFPUG 4;"IFPUG 4;";;;"ADS;";;;;;;;;;;;;;;;;;No;Yes;"Developed In-house;";;;;;;;;Staff hours (recorded);1;;;;;;36;15;4;30;7;92;0;0;;;;;;;
