Normalised Work Effort Level 1,Adjusted Function Points,Functional Size,Project Elapsed Time,Primary Programming Language,Industry Sector,1st Data Base System,Development Platform,Used Methodology,Development Type,Language Type,Application Group
18160.0,620.0,620.0,7.0,14,6,8,0,0,1,0,0
2924.0,250.0,243.0,8.0,9,5,3,0,2,1,0,0
668.0,152.0,163.0,9.0,20,12,3,0,2,1,0,0
4805.0,702.0,702.0,12.3,26,7,12,2,0,1,1,0
2006.0,101.0,90.0,5.0,6,11,9,3,2,1,0,0
11372.0,859.0,859.0,12.0,26,11,12,1,0,1,1,0
930.0,230.0,230.0,3.6,9,13,16,0,0,0,0,0
5377.0,304.0,304.0,10.0,20,11,3,0,2,0,0,0
1485.0,132.0,132.0,12.0,15,5,9,2,2,0,0,0
6459.0,217.0,217.0,2.9,30,6,3,0,0,0,0,0
8580.0,359.0,359.0,8.5,26,11,12,1,0,1,1,0
804.0,74.0,74.0,8.0,28,0,3,0,2,1,2,0
5867.0,324.0,324.0,12.0,9,0,8,0,2,1,0,0
1718.0,193.0,193.0,6.9,16,12,11,2,0,1,1,0
4997.0,218.0,218.0,33.0,20,0,3,0,0,0,0,0
2204.0,249.0,249.0,15.0,2,5,3,2,2,0,1,0
676.0,391.0,340.0,7.0,18,1,12,1,2,0,1,0
911.0,263.0,263.0,3.0,6,5,3,2,2,0,0,0
3532.0,245.0,209.0,13.0,30,6,0,0,2,0,1,0
436.0,77.0,70.0,1.0,14,1,12,3,2,0,0,3
3280.0,205.0,205.0,7.7,20,0,8,0,0,0,0,0
4623.0,749.0,749.0,25.7,26,7,9,2,0,1,1,0
2076.0,159.0,159.0,4.2,30,4,9,2,0,0,0,3
1935.0,200.0,200.0,7.0,9,0,8,0,2,1,0,0
2800.0,124.0,124.0,5.0,14,6,3,3,0,0,0,0
174.0,142.0,149.0,2.0,16,5,4,3,2,1,1,0
2877.0,228.0,228.0,4.0,2,5,3,2,2,1,1,0
1536.0,73.0,58.0,5.0,23,1,12,1,2,0,1,2
3746.0,199.0,199.0,9.0,20,5,3,2,2,0,0,0
1472.0,407.0,407.0,1.9,5,1,12,1,0,0,0,0
3430.0,270.0,270.0,10.0,6,5,9,2,2,0,0,0
1146.0,161.0,161.0,5.0,30,5,0,3,2,0,1,0
71729.0,1337.0,1337.0,38.0,6,5,9,2,2,1,0,0
4544.0,733.0,733.0,13.0,6,5,3,2,2,1,0,0
10341.0,477.0,477.0,3.0,30,6,16,2,0,0,0,0
4036.0,89.0,89.0,5.0,15,11,3,2,2,0,0,0
3090.0,142.0,142.0,9.0,9,0,8,0,2,1,0,0
9058.0,599.0,599.0,8.0,5,0,12,1,0,1,0,0
406.0,101.0,112.0,8.0,22,13,18,3,1,1,1,0
7808.0,103.0,103.0,39.0,9,0,8,0,0,1,0,0
2280.0,83.0,83.0,4.0,30,6,16,2,0,0,0,0
10157.0,287.0,287.0,27.6,30,5,11,2,2,0,0,0
2212.0,109.0,109.0,9.0,28,0,8,0,2,1,2,0
6944.0,424.0,424.0,6.9,30,6,9,3,0,1,0,0
5621.0,344.0,344.0,12.0,9,5,8,2,2,0,0,0
