k1;k2;k3;k4;;
2,031734225;2,111153554;1,804814116;1,810229283;;
1,936888864;1,930189117;1,784246067;1,79205153;;
1,699719338;1,985683029;1,75878387;1,78533348;;
2,114956503;1,929633767;1,84803741;1,825735006;;
2,040840138;1,841893219;1,626247026;1,889865537;;
1,809096229;1,9390253;2,038896371;1,893830635;;
1,822156754;2,010303602;1,769467764;1,624571809;;
1,852921778;1,933130472;1,782856059;1,821160693;;
1,802258309;1,864760984;1,644315666;1,819011825;;
2,008409032;1,86318729;1,878186139;1,949548569;;
1,898302747;1,852451997;1,630393281;1,721592007;;
1,952819708;1,833371544;1,76010278;1,737004671;;
1,781644363;1,784718696;1,771175281;1,839135562;;
2,008942488;1,651751254;1,83418671;1,911206119;;
1,93856136;1,931964584;1,735227528;1,868539057;;
1,903509973;1,791785341;1,780205388;1,834945928;;
2,069180893;1,995685092;1,886025187;1,828591829;;
2,059425418;1,884334961;1,691013749;1,831228908;;
1,984909227;1,932819816;1,704433478;1,73068383;;
1,81136469;1,987818575;1,826239599;1,866829396;;
1,842480592;1,851353196;1,806491197;1,884683221;;
1,807221207;1,966778454;1,751283633;1,838461558;;
1,859561983;2,00282432;1,769617663;1,784913374;;
1,953954811;1,844722245;1,852916756;1,900387203;;
1,919231703;1,925677654;1,718253397;1,826687342;;
1,971315162;2,037558334;1,894488079;1,648268137;;
2,046543461;2,014678474;1,906225369;1,848617412;;
2,051194857;2,000561977;1,778596283;1,773879637;;
1,843369316;2,028487772;1,811382191;1,806826087;;
1,803808603;1,825402855;1,813160653;1,574700126;;
1,987402118;1,786449723;1,588096563;1,926373894;;
1,824842268;1,780550785;1,74131567;1,894262774;;
1,956589951;2,047222557;1,723331153;1,729493728;;
1,863400027;1,823309356;1,713636993;1,825661279;;
1,90606822;1,873832546;1,855207973;1,833662237;;
1,94779569;1,836086153;1,847158358;1,875031307;;
1,866671223;1,968964863;1,765919165;1,694621177;;
1,922727468;2,042912437;1,754018013;1,795574852;;
1,923323403;1,867018691;1,830233077;1,818518254;;
1,988947276;1,9781055;1,872676232;1,627150574;;
1,900495304;1,87957769;1,890536121;1,698626733;;
1,928872285;1,811962978;1,813606097;1,896558343;;
1,841331448;1,983188987;1,778713423;1,967552218;;
1,818272444;2,106055127;1,821750727;1,856374768;;
1,95244184;1,973991409;1,730585306;1,792223848;;
1,791905331;1,867529274;1,836486811;1,979967815;;
1,951482928;1,924209827;1,87834458;1,780522132;;
1,881708065;1,990264563;1,732616634;1,768417822;;
1,892825664;1,904035959;1,733105048;1,853998786;;
2,089594739;1,953831569;1,711837603;1,809093796;;
1,904390009;1,88888454;1,683270041;1,770445242;;
1,986582521;1,862026414;1,775437967;1,919329531;;
1,967273452;1,789942024;1,786935238;1,713176972;;
1,979479185;1,846565583;1,671732231;1,963397678;;
1,98400255;1,832869993;1,911287011;1,819793131;;
1,830849109;1,871618463;1,763112973;1,81248591;;
1,995447288;1,976965816;1,775622152;1,914117692;;
1,857728718;1,963105333;1,798892807;1,943688874;;
1,867888175;1,942924265;1,634022838;2,116084493;;
2,008896893;1,881202788;1,845094792;1,838639014;;
2,146203528;1,967081284;1,766305701;1,874938483;;
1,837450639;1,954882634;1,99510177;1,926063866;;
1,899594049;1,917722309;1,766120572;1,631378527;;
1,927274393;1,960664089;1,96311342;1,876983478;;
1,798033045;1,784800581;1,9903222;1,853455045;;
1,782224719;1,938844605;1,972711502;1,860132912;;
1,948930984;1,857746686;1,854098413;1,830259091;;
2,097678018;1,943923731;1,931615479;1,740060808;;
1,912481583;1,818136578;1,854547008;1,866351893;;
2,014871057;2,00540841;1,619009098;1,809457091;;
1,920137893;2,035884577;1,974124502;1,819872801;;
1,944616325;1,845169734;1,963498675;1,750452231;;
1,93150571;1,973854514;1,784638482;1,661053653;;
1,880590908;1,831955283;1,789444909;1,724555578;;
1,912876814;2,029781397;1,867719045;1,825119527;;
1,883181824;1,879466976;1,865862437;1,880162787;;
2,016731406;1,795901218;1,782512763;1,845356596;;
1,93008904;2,09808069;1,814762436;1,710958402;;
