Industry Sector,Application Group,Development Type,Development Platform,Language Type,Primary Programming Language,Functional Size,Adjusted Function Points,Normalised Work Effort Level 1,Project Elapsed Time,1st Data Base System,Used Methodology
Insurance,Business Application,New Development,MF,3GL,Java,620.0,620.0,18160.0,7.0,IMS,Don't Know
Government,Business Application,New Development,MF,3GL,COBOL,243.0,250.0,2924.0,8.0,DB2,Yes
Utilities,Business Application,New Development,MF,3GL,PL/I,163.0,152.0,668.0,9.0,DB2,Yes
Manufacturing,Business Application,New Development,Multi,4GL,SQL,702.0,702.0,4805.0,12.3,ORACLE,Don't Know
Service Industry,Business Application,New Development,PC,3GL,C#,90.0,101.0,2006.0,5.0,MS SQL,Yes
Service Industry,Business Application,New Development,MR,4GL,SQL,859.0,859.0,11372.0,12.0,ORACLE,Don't Know
Wholesale & Retail,Business Application,Enhancement,MF,3GL,COBOL,230.0,230.0,930.0,3.6,Unspecified,Don't Know
Service Industry,Business Application,Enhancement,MF,3GL,PL/I,304.0,304.0,5377.0,10.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,JavaScript,132.0,132.0,1485.0,12.0,MS SQL,Yes
Insurance,Business Application,Enhancement,MF,3GL,Visual Basic,217.0,217.0,6459.0,2.9,DB2,Don't Know
Service Industry,Business Application,New Development,MR,4GL,SQL,359.0,359.0,8580.0,8.5,ORACLE,Don't Know
Banking,Business Application,New Development,MF,ApG,TELON,74.0,74.0,804.0,8.0,DB2,Yes
Banking,Business Application,New Development,MF,3GL,COBOL,324.0,324.0,5867.0,12.0,IMS,Yes
Utilities,Business Application,New Development,Multi,4GL,Lotus Notes,193.0,193.0,1718.0,6.9,No,Don't Know
Banking,Business Application,Enhancement,MF,3GL,PL/I,218.0,218.0,4997.0,33.0,DB2,Don't Know
Government,Business Application,Enhancement,Multi,4GL,ABAP,249.0,249.0,2204.0,15.0,DB2,Yes
Communication,Business Application,Enhancement,MR,4GL,Oracle,340.0,391.0,676.0,7.0,ORACLE,Yes
Government,Business Application,Enhancement,Multi,3GL,C#,263.0,263.0,911.0,3.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,4GL,Visual Basic,209.0,245.0,3532.0,13.0,ACCESS,Yes
Communication,Real-Time Application,Enhancement,PC,3GL,Java,70.0,77.0,436.0,1.0,ORACLE,Yes
Banking,Business Application,Enhancement,MF,3GL,PL/I,205.0,205.0,3280.0,7.7,IMS,Don't Know
Manufacturing,Business Application,New Development,Multi,4GL,SQL,749.0,749.0,4623.0,25.7,MS SQL,Don't Know
Financial,Real-Time Application,Enhancement,Multi,3GL,Visual Basic,159.0,159.0,2076.0,4.2,MS SQL,Don't Know
Banking,Business Application,New Development,MF,3GL,COBOL,200.0,200.0,1935.0,7.0,IMS,Yes
Insurance,Business Application,Enhancement,PC,3GL,Java,124.0,124.0,2800.0,5.0,DB2,Don't Know
Government,Business Application,New Development,PC,4GL,Lotus Notes,149.0,142.0,174.0,2.0,Domino,Yes
Government,Business Application,New Development,Multi,4GL,ABAP,228.0,228.0,2877.0,4.0,DB2,Yes
Communication,Mathematically-Intensive Application,Enhancement,MR,4GL,Pro*C,58.0,73.0,1536.0,5.0,ORACLE,Yes
Government,Business Application,Enhancement,Multi,3GL,PL/I,199.0,199.0,3746.0,9.0,DB2,Yes
Communication,Business Application,Enhancement,MR,3GL,C,407.0,407.0,1472.0,1.9,ORACLE,Don't Know
Government,Business Application,Enhancement,Multi,3GL,C#,270.0,270.0,3430.0,10.0,MS SQL,Yes
Government,Business Application,Enhancement,PC,4GL,Visual Basic,161.0,161.0,1146.0,5.0,ACCESS,Yes
Government,Business Application,New Development,Multi,3GL,C#,1337.0,1337.0,71729.0,38.0,MS SQL,Yes
Government,Business Application,New Development,Multi,3GL,C#,733.0,733.0,4544.0,13.0,DB2,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,477.0,477.0,10341.0,3.0,Unspecified,Don't Know
Service Industry,Business Application,Enhancement,Multi,3GL,JavaScript,89.0,89.0,4036.0,5.0,DB2,Yes
Banking,Business Application,New Development,MF,3GL,COBOL,142.0,142.0,3090.0,9.0,IMS,Yes
Banking,Business Application,New Development,MR,3GL,C,599.0,599.0,9058.0,8.0,ORACLE,Don't Know
Wholesale & Retail,Business Application,New Development,PC,4GL,PowerBuilder,112.0,101.0,406.0,8.0,Watcom,No
Banking,Business Application,New Development,MF,3GL,COBOL,103.0,103.0,7808.0,39.0,IMS,Don't Know
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,83.0,83.0,2280.0,4.0,Unspecified,Don't Know
Government,Business Application,Enhancement,Multi,3GL,Visual Basic,287.0,287.0,10157.0,27.6,No,Yes
Banking,Business Application,New Development,MF,ApG,TELON,109.0,109.0,2212.0,9.0,IMS,Yes
Insurance,Business Application,New Development,PC,3GL,Visual Basic,424.0,424.0,6944.0,6.9,MS SQL,Don't Know
Government,Business Application,Enhancement,Multi,3GL,COBOL,344.0,344.0,5621.0,12.0,IMS,Yes
Insurance,Business Application,Enhancement,MF,3GL,COBOL,470.0,470.0,1968.0,5.0,IMS,Don't Know
Government,Business Application,New Development,MF,3GL,COBOL,35.0,35.0,1828.0,18.0,DB2,Yes
Government,Business Application,Enhancement,MF,3GL,PL/I,736.0,736.0,12970.0,15.0,DB2,Yes
Insurance,Business Application,Enhancement,PC,4GL,Access,479.0,479.0,1183.0,5.0,ACCESS,Don't Know
Service Industry,Business Application,New Development,PC,3GL,C#,95.0,95.0,1044.0,10.0,No,Yes
Service Industry,Business Application,Enhancement,MF,3GL,PL/I,2592.0,2592.0,1716.0,12.0,Yes,Don't Know
Manufacturing,Real-Time Application,New Development,Multi,3GL,C,153.0,153.0,4794.0,7.0,ORACLE,Don't Know
Government,Business Application,Enhancement,MF,3GL,COBOL,6.0,6.0,180.0,6.0,DB2,Yes
Insurance,Business Application,Enhancement,Multi,4GL,Visual Basic,1023.0,1023.0,1446.0,2.9,ACCESS,Don't Know
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,344.0,344.0,12498.0,3.0,No,Don't Know
Insurance,Business Application,Enhancement,Multi,4GL,Visual Basic,107.0,107.0,975.0,3.0,ORACLE,Don't Know
Service Industry,Business Application,Enhancement,Multi,4GL,PowerBuilder,696.0,696.0,6023.0,13.0,ORACLE,Yes
Manufacturing,Business Application,New Development,PC,4GL,ASP,302.0,302.0,679.0,2.0,MS SQL,Don't Know
Financial,Business Application,Enhancement,PC,3GL,C++,538.0,699.0,8060.0,12.0,ORACLE,Yes
Banking,Business Application,Enhancement,MF,3GL,PL/I,30.0,30.0,822.0,4.0,DB2,Don't Know
Manufacturing,Business Application,Enhancement,Multi,3GL,C,116.0,116.0,1512.0,3.8,ORACLE,Don't Know
Financial,Business Application,Enhancement,PC,3GL,C++,119.0,155.0,7150.0,12.0,ORACLE,Yes
Professional Services,Business Application,New Development,MF,4GL,SAS,800.0,800.0,5880.0,24.0,SAS,No
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,425.0,425.0,4855.0,3.0,Unspecified,Don't Know
Manufacturing,Business Application,New Development,MR,3GL,C,537.0,537.0,3748.0,4.7,ORACLE,Don't Know
Government,Mathematically-Intensive Application,New Development,Multi,3GL,C#,777.0,777.0,7119.0,20.0,MS SQL,Yes
Government,Business Application,New Development,MF,3GL,PL/I,412.0,412.0,5864.0,20.0,MS SQL,Yes
Communication,Business Application,Enhancement,MR,4GL,Oracle,322.0,348.0,973.0,3.0,ORACLE,Yes
Government,Business Application,New Development,MF,3GL,COBOL,180.0,194.0,3624.0,5.0,DB2,Yes
Construction,Business Application,New Development,Multi,3GL,COBOL,2583.0,2583.0,22960.0,9.1,ORACLE,Don't Know
Government,Business Application,New Development,Multi,3GL,C#,259.0,259.0,8963.0,20.0,DB2,Yes
Service Industry,Business Application,New Development,Multi,4GL,ABAP,396.0,396.0,6051.0,16.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,PL/I,265.0,286.0,1464.0,6.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,PL/I,367.0,367.0,2930.0,12.0,DB2,Yes
Communication,Business Application,Enhancement,PC,4GL,Oracle,100.0,104.0,2321.0,5.0,ORACLE,Yes
Banking,Business Application,Enhancement,MR,3GL,C++,1307.0,1307.0,6600.0,5.0,HIRDB,Don't Know
Communication,Business Application,Enhancement,PC,4GL,Visual Basic,500.0,465.0,4054.0,13.0,MS SQL,Yes
Government,Business Application,Enhancement,MF,3GL,PL/I,144.0,144.0,809.0,5.0,DB2,Yes
Banking,Business Application,New Development,MF,3GL,COBOL,445.0,445.0,8499.0,8.0,IMS,Yes
Insurance,Business Application,New Development,Multi,3GL,Visual Basic,231.0,231.0,3045.0,2.0,No,Don't Know
Government,Business Application,Enhancement,MF,3GL,COBOL,113.0,113.0,6710.0,12.0,IMS,Yes
Communication,Business Application,Enhancement,MF,3GL,COBOL,650.0,728.0,943.0,18.0,DB2,Yes
Insurance,Business Application,Enhancement,Multi,4GL,Visual Basic,165.0,165.0,850.0,2.0,ORACLE,Don't Know
Electronics & Computers,Business Application,Re-development,PC,3GL,Java,615.0,738.0,2786.0,7.0,DB2,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,981.0,981.0,25837.0,6.0,Unspecified,Don't Know
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,140.0,140.0,2202.0,3.0,No,Don't Know
Communication,Business Application,Enhancement,PC,3GL,Java,445.0,548.0,3153.0,6.0,ORACLE,Yes
Service Industry,Business Application,New Development,PC,4GL,ASP,786.0,786.0,7496.0,8.6,MS SQL,Don't Know
Government,Business Application,Enhancement,Multi,4GL,ABAP,334.0,334.0,2648.0,9.0,DB2,Yes
Communication,Business Application,New Development,PC,4GL,SQL,239.0,239.0,678.0,8.0,ORACLE,Yes
Insurance,Business Application,Enhancement,MF,3GL,COBOL,227.0,227.0,2700.0,6.0,IMS,Don't Know
Manufacturing,Business Application,Enhancement,Multi,3GL,Shell,95.0,95.0,350.0,2.1,ORACLE,Yes
Insurance,Business Application,New Development,Multi,3GL,Visual Basic,92.0,92.0,3889.0,4.0,No,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,COBOL,51.0,51.0,966.0,3.0,IMS,Don't Know
Manufacturing,Real-Time Application,New Development,Multi,3GL,C++,120.0,120.0,3287.0,7.9,No,Don't Know
Government,Business Application,New Development,PC,4GL,Access,507.0,527.0,650.0,6.0,ACCESS,No
Utilities,Business Application,New Development,MR,4GL,SQL,575.0,610.0,950.0,3.0,ORACLE,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,139.0,139.0,6700.0,4.0,Unspecified,Don't Know
Manufacturing,Business Application,New Development,Multi,3GL,Visual Basic,74.0,74.0,835.0,4.0,ORACLE,Don't Know
Banking,Business Application,Enhancement,MF,3GL,PL/I,136.0,136.0,4326.0,5.6,IMS,Don't Know
Service Industry,Real-Time Application,Enhancement,PC,4GL,ASP,133.0,133.0,352.0,6.0,MS SQL,Yes
Manufacturing,Business Application,New Development,PC,4GL,Visual Basic,528.0,528.0,4750.0,7.4,ORACLE,Don't Know
Professional Services,Business Application,New Development,PC,3GL,HTML,1588.0,1588.0,12564.0,7.1,ORACLE,Yes
Financial,Business Application,New Development,Multi,4GL,Lotus Notes,293.0,293.0,1327.0,2.5,Domino,Don't Know
Communication,Business Application,New Development,MR,3GL,PL/SQL,170.0,170.0,5950.0,4.5,ORACLE,Don't Know
Service Industry,Business Application,Enhancement,PC,3GL,PL/SQL,50.0,50.0,1136.0,5.0,ORACLE,Don't Know
Financial,Business Application,New Development,Multi,4GL,PowerBuilder,366.0,366.0,3410.0,4.0,ORACLE,Don't Know
Financial,Business Application,Enhancement,PC,3GL,C++,2521.0,2824.0,57156.0,12.0,ORACLE,Yes
Manufacturing,Business Application,New Development,MF,3GL,RPG,405.0,405.0,876.0,3.0,IMS,Don't Know
Government,Business Application,New Development,Multi,3GL,PL/I,1018.0,1018.0,60826.0,20.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,PL/I,208.0,208.0,3482.0,8.0,DB2,Yes
Banking,Business Application,New Development,MF,3GL,PL/I,65.0,65.0,398.0,1.4,IMS,Don't Know
Government,Business Application,New Development,PC,3GL,Java,751.0,751.0,3114.0,2.8,ORACLE,Yes
Government,Business Application,New Development,MF,3GL,COBOL,119.0,126.0,2660.0,10.0,DB2,Yes
Government,Business Application,Enhancement,MF,3GL,PL/I,77.0,77.0,870.0,6.0,DB2,Yes
Government,Business Application,Enhancement,PC,3GL,C/AL,3088.0,3088.0,4266.0,8.0,Attain,Yes
Utilities,Business Application,New Development,MF,3GL,PL/I,100.0,82.0,440.0,3.0,IMS,Yes
Government,Business Application,Enhancement,Multi,3GL,C#,154.0,154.0,2009.0,4.0,No,Yes
Insurance,Business Application,Enhancement,MF,3GL,COBOL,121.0,121.0,515.0,3.0,DB2,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,Visual Basic,327.0,327.0,10360.0,3.0,DB2,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,Visual Basic,120.0,120.0,3080.0,3.0,DB2,Don't Know
Financial,Business Application,New Development,PC,4GL,Visual C++,1521.0,1521.0,3857.0,6.0,NCR,Don't Know
Banking,Business Application,New Development,MF,3GL,PL/I,192.0,192.0,4386.0,3.0,DB2,Don't Know
Construction,Business Application,Enhancement,Multi,3GL,Visual Basic,82.0,82.0,742.0,2.6,ORACLE,Don't Know
Manufacturing,Business Application,New Development,Multi,4GL,Visual Basic,2120.0,2120.0,11830.0,9.0,ORACLE,Don't Know
Government,Business Application,Enhancement,MF,3GL,PL/I,235.0,235.0,5548.0,16.0,Unspecified,Yes
Manufacturing,Business Application,New Development,MF,4GL,Visual Basic,1694.0,1694.0,6400.0,10.9,ORACLE,Don't Know
Service Industry,Business Application,Enhancement,Multi,3GL,C#,695.0,695.0,19606.0,19.0,DB2,Yes
Service Industry,Business Application,New Development,Multi,3GL,C#,235.0,235.0,5374.0,11.0,DB2,Yes
Government,Business Application,Enhancement,MF,3GL,COBOL,72.0,58.0,381.0,2.0,DB2,Yes
